2800 BROADWAY San Diego, CA__delimeter__32.7158592-117.1337596
4850 DRAKEWOOD TR San Diego, CA__delimeter__32.9657785-117.2122774
1200 PARK BL San Diego, CA__delimeter__32.7081249-117.1538451
8948 JUDICIAL DR San Diego, CA__delimeter__32.8713693-117.2023499
4600 51ST ST San Diego, CA__delimeter__32.7609336-117.0843153
900 TARENTO DR San Diego, CA__delimeter__32.7216254-117.2479813
9200 REGENTS RD San Diego, CA__delimeter__32.8731234-117.2237308
400 SEA WORLD DR San Diego, CA__delimeter__32.7614025-117.2240847
3100 OCEAN VIEW BL San Diego, CA__delimeter__32.7012171-117.1273434
700 F ST San Diego, CA__delimeter__32.7136502-117.158309
200 REDWOOD ST San Diego, CA__delimeter__32.737664-117.1630724
16950 VIA TAZON San Diego, CA__delimeter__33.0222562-117.086178
15600 BERNARDO CENTER DR San Diego, CA__delimeter__33.0050241-117.0947049
3250 VIA MARIN San Diego, CA__delimeter__32.8562605-117.2334693
8250 MIRA MESA BL San Diego, CA__delimeter__32.913852-117.146008
8350 MIRA MESA BL San Diego, CA__delimeter__32.9128118-117.1432762
8400 STATION VILLAGE LN San Diego, CA__delimeter__32.7737806-117.1450672
3390 COLLEGE AV San Diego, CA__delimeter__32.7425117-117.0514045
100 WOODMAN ST San Diego, CA__delimeter__32.7038514-117.0548848
4340 MISSION BL San Diego, CA__delimeter__32.7942103-117.2550131
3120 IRIS AV San Diego, CA__delimeter__32.5691461-117.0660715
7200 SKYLINE DR San Diego, CA__delimeter__32.7033835-117.0429112
4000 ALABAMA ST San Diego, CA__delimeter__32.7503286-117.1425367
4000 VAN DYKE AV San Diego, CA__delimeter__32.7496639-117.1032561
4830 WYCONDA LN San Diego, CA__delimeter__32.6926957-117.0902837
3600 NORTH HARBOR DR San Diego, CA__delimeter__32.7292915-117.2002145
0 SR-94 WB San Diego, CA__delimeter__32.715738-117.1610838
600 10TH AV San Diego, CA__delimeter__32.7115717-117.155599
3400 ROWE ST San Diego, CA__delimeter__32.7422356-117.0629392
2250 MOORE ST San Diego, CA__delimeter__32.7478462-117.1927645
600 S 36TH ST San Diego, CA__delimeter__32.6998562-117.1168128
1200 PARKER PL San Diego, CA__delimeter__32.7921293-117.2462373
3704 NORTH HARBOR DR San Diego, CA__delimeter__32.7292821-117.2049646
2400 L ST San Diego, CA__delimeter__32.7073704-117.1424273
9300 LA JOLLA SHORES DR San Diego, CA__delimeter__32.8700991-117.2498776
1900 DAIRY MART RD San Diego, CA__delimeter__32.5617904-117.0624439
552 62ND ST San Diego, CA__delimeter__32.7110855-117.0640105
4320 BOSTON AV San Diego, CA__delimeter__32.6932561-117.1016954
12750 VIA TERCETO San Diego, CA__delimeter__32.9484117-117.2262344
3000 B ST San Diego, CA__delimeter__32.7179724-117.1295837
6400 EL CAJON BL San Diego, CA__delimeter__32.7650637-117.0607448
18200 WEST BERNARDO DR San Diego, CA__delimeter__33.0434868-117.075722
1300 DIAMOND ST San Diego, CA__delimeter__32.801406-117.2471968
2200 DUNLOP ST San Diego, CA__delimeter__32.7845064-117.1666167
320 E SAN YSIDRO BL San Diego, CA__delimeter__32.5511756-117.038961
1400 CHALCEDONY ST San Diego, CA__delimeter__32.8036502-117.2459425
900 WEST MUIRLANDS DR San Diego, CA__delimeter__32.8350679-117.2719938
100 ALVERSON RD San Diego, CA__delimeter__32.555388-117.0515755
433 S 36TH ST San Diego, CA__delimeter__32.701547-117.11654
200 W C ST San Diego, CA__delimeter__32.7168013-117.1647562
7900 CAMTO DEL CID San Diego, CA__delimeter__32.8505121-117.25198
500 W SAN YSIDRO BL San Diego, CA__delimeter__32.5565361-117.0564627
3730 SWIFT AV San Diego, CA__delimeter__32.7466893-117.1196195
0 I-15 SB San Diego, CA__delimeter__32.5586558-117.1013359
1000 07TH AV San Diego, CA__delimeter__32.7157526-117.1583587
3800 46TH ST San Diego, CA__delimeter__32.7477041-117.095541
4700 TOBEY ST San Diego, CA__delimeter__32.7869118-117.0939221
5800 THORN ST San Diego, CA__delimeter__32.7414745-117.0699187
50 15TH ST San Diego, CA__delimeter__32.7059077-117.1503658
2900 ALTA VIEW DR San Diego, CA__delimeter__32.675859-117.0401787
1720 ROYSTON DR San Diego, CA__delimeter__32.5680374-117.0962679
1000 FELSPAR ST San Diego, CA__delimeter__32.7983226-117.2521042
2000 ALAQUINAS DR San Diego, CA__delimeter__32.5607893-117.0428917
400 CAM DEL RIO SOUTH San Diego, CA__delimeter__32.7644009-117.1557801
5040 FEDERAL BL San Diego, CA__delimeter__32.7214425-117.0863568
5500 BLUERIDGE ST San Diego, CA__delimeter__32.6697815-117.0682639
300 GLORIA ST San Diego, CA__delimeter__32.7022625-117.0904868
10400 FALCON WY San Diego, CA__delimeter__32.9088829-117.1138453
8500 VIA MALLORCA San Diego, CA__delimeter__32.8610169-117.233565
6400 POTOMAC ST San Diego, CA__delimeter__32.682617-117.0540638
1300 W PALM ST San Diego, CA__delimeter__32.7335279-117.1737948
210 COAST BL San Diego, CA__delimeter__32.839536-117.281322
1500 03RD AV San Diego, CA__delimeter__32.7209185-117.1620427
3230 EL CAJON BL San Diego, CA__delimeter__32.7554025-117.1256529
3600 MIDWAY DR San Diego, CA__delimeter__32.7521256-117.2151352
943 25TH ST San Diego, CA__delimeter__32.7155305-117.1402593
7734 BALBOA AV San Diego, CA__delimeter__32.8218461-117.1571365
3800 50TH ST San Diego, CA__delimeter__32.7472593-117.0870341
2450 CONGRESS ST San Diego, CA__delimeter__32.7514332-117.1947007
11000 CAMTO VISTA PACIFICA San Diego, CA__delimeter__32.715738-117.1610838
3700 ARNOLD AV San Diego, CA__delimeter__32.7457778-117.1368231
11400 FAISAN WY San Diego, CA__delimeter__32.8151068-117.0819216
4400 JOCELYN ST San Diego, CA__delimeter__32.7257478-117.0997774
2220 PALM SB AV San Diego, CA__delimeter__32.5627618-117.066676
8250 ECHO DELL RD San Diego, CA__delimeter__32.817507-117.056325
8500 LA JOLLA SHORES DR San Diego, CA__delimeter__32.8616588-117.2533652
4100 LOUISIANA ST San Diego, CA__delimeter__32.7521938-117.1400712
100 S 58TH ST San Diego, CA__delimeter__32.7039322-117.0735989
7667 BROOKHAVEN RD San Diego, CA__delimeter__32.6965373-117.0308237
18640 ROBLEDA CT San Diego, CA__delimeter__33.0455926-117.0541193
8800 CLAIREMONT MESA BL San Diego, CA__delimeter__32.8316145-117.1379675
3800 LA JOLLA VILLAGE DR San Diego, CA__delimeter__32.8710446-117.2231538
16950 VIA TAZON San Diego, CA__delimeter__33.0222562-117.086178
3820 COLINA DORADA DR San Diego, CA__delimeter__32.814089-117.0837482
3800 05TH AV San Diego, CA__delimeter__32.7471905-117.1607376
0 COLLEGE AV San Diego, CA__delimeter__32.7655983-117.0668028
3200 SOLDAU DR San Diego, CA__delimeter__32.5738318-117.0653344
3900 GAINES ST San Diego, CA__delimeter__32.7545028-117.2035394
1100 03RD AV San Diego, CA__delimeter__32.7174403-117.1623851
3200 HOLIDAY CT San Diego, CA__delimeter__32.8703194-117.2337592
720 E SAN YSIDRO BL San Diego, CA__delimeter__32.5448328-117.0300624
7700 BELDEN ST San Diego, CA__delimeter__32.8106345-117.1567053
900 09TH AV San Diego, CA__delimeter__32.7147022-117.1565251
5200 52ND PL San Diego, CA__delimeter__32.7499685-117.0835288
5300 MEADE AV San Diego, CA__delimeter__32.7565853-117.0817293
1100 BEARDSLEY ST San Diego, CA__delimeter__32.7010322-117.1475545
1000 DRACMA DR San Diego, CA__delimeter__32.57908-117.0720805
4200 41ST ST San Diego, CA__delimeter__32.7532479-117.1072583
3573 UNIVERSITY AV San Diego, CA__delimeter__32.7497281-117.1162129
4100 BETA ST San Diego, CA__delimeter__32.6908718-117.1059411
500 W GRAPE ST San Diego, CA__delimeter__32.7259718-117.1671658
10800 BLACK MTN RD San Diego, CA__delimeter__32.9172451-117.1248995
7700 EADS AV San Diego, CA__delimeter__32.8430058-117.275924
4260 CORDOBES CV San Diego, CA__delimeter__32.9430488-117.2233532
5301 EL CAJON BL San Diego, CA__delimeter__32.7574265-117.0817274
1770 EAST MISSION BAY DR San Diego, CA__delimeter__32.7776131-117.2096744
7784 GOLDFISH WY San Diego, CA__delimeter__32.9434094-117.1557496
2100 ALBATROSS ST San Diego, CA__delimeter__32.7272087-117.1657413
4400 BOSTON AV San Diego, CA__delimeter__32.6932497-117.1001346
9400 KEARNY MESA RD San Diego, CA__delimeter__32.8932302-117.1184027
700 NARWHAL ST San Diego, CA__delimeter__32.5832626-117.0553964
200 W SAN YSIDRO BL San Diego, CA__delimeter__32.5537748-117.0480111
16600 ORILLA DR San Diego, CA__delimeter__33.0142239-117.0628697
200 W SAN YSIDRO BL San Diego, CA__delimeter__32.5537748-117.0480111
1770 EAST MISSION BAY DR San Diego, CA__delimeter__32.7776131-117.2096744
2250 MOORE ST San Diego, CA__delimeter__32.7478462-117.1927645
4900 UNIVERSITY AV San Diego, CA__delimeter__32.749549-117.088952
2600 EL CAJON BL San Diego, CA__delimeter__32.7553957-117.1363688
2100 SHELTER ISLAND DR San Diego, CA__delimeter__32.7141377-117.2261643
700 PIDGEON ST San Diego, CA__delimeter__32.7120618-117.0469225
3000 30TH ST San Diego, CA__delimeter__32.7365602-117.1293447
3760 TORREY VIEW CT San Diego, CA__delimeter__32.9211009-117.2315693
3450 DURANT ST San Diego, CA__delimeter__FAIL
10200 WALDRON WY San Diego, CA__delimeter__32.8098295-117.1088589
4700 ALLENHURST PL San Diego, CA__delimeter__32.8294529-117.1812766
400 16TH ST San Diego, CA__delimeter__32.7094182-117.1494655
6400 AMBROSIA DR San Diego, CA__delimeter__32.7912565-117.1092464
8400 PASEO DEL OCASO San Diego, CA__delimeter__32.8591083-117.2545086
1300 COLUMBIA ST San Diego, CA__delimeter__32.7188184-117.1674336
7750 EXCHANGE PL San Diego, CA__delimeter__32.8460256-117.2686916
10100 PASEO MONTRIL San Diego, CA__delimeter__32.9517439-117.1076741
1444 CAM DEL RIO NORTH San Diego, CA__delimeter__32.7668619-117.1508983
2900 TALBOT ST San Diego, CA__delimeter__32.7196971-117.2318527
10900 EVENING CREEK E DR San Diego, CA__delimeter__32.9620192-117.091929
750 15TH ST San Diego, CA__delimeter__32.7132125-117.1503869
300 KALMIA ST San Diego, CA__delimeter__32.7303498-117.1620922
3300 LAUREL ST San Diego, CA__delimeter__32.7317386-117.1234401
500 ROBINSON AV San Diego, CA__delimeter__32.7469767-117.160405
3700 NEWTON AV San Diego, CA__delimeter__32.6949995-117.1145979
5440 EL CAJON BL San Diego, CA__delimeter__32.7580485-117.0785247
7300 BASSO CT San Diego, CA__delimeter__32.8063164-117.0387888
1800 LOGAN AV San Diego, CA__delimeter__32.7026547-117.1457356
1140 SANTA BARBARA ST San Diego, CA__delimeter__32.7275497-117.248136
700 S 44TH ST San Diego, CA__delimeter__32.6986672-117.1002288
3800 BOREN ST San Diego, CA__delimeter__32.7479374-117.0629328
400 W SAN YSIDRO BL San Diego, CA__delimeter__32.5553832-117.0516278
18200 WEST BERNARDO DR San Diego, CA__delimeter__33.0434868-117.075722
4200 44TH ST San Diego, CA__delimeter__32.7531832-117.0997984
4976
